@id,@lat,@lon,name,place,population,addr:district,addr:region
337508944,51.3731000,34.1935690,Свобода,hamlet,23,,
337508983,51.3680340,34.3044930,Гірки,village,142,,
337509013,51.3665810,34.2292790,Бунячине,village,587,,
337509463,51.3260610,34.0548710,Линове,village,698,,
337509492,51.3236620,34.1774410,Партизанське,village,10,,
337509581,51.3143880,34.2169190,Рівне,village,129,,
337509598,51.3111812,34.2442994,Дорошівка,hamlet,8,,
337509729,51.3003080,34.2031780,Кружок,village,60,,
337509808,51.2903590,34.0919490,Юрієве,village,584,,
337509979,51.2755360,34.0064620,Волинцівське,village,20,,
337510017,51.2697600,34.2100490,Бояро-Лежачі,village,459,,
337510082,51.2642710,34.3930400,Безсалівка,village,91,,
337510132,51.2601510,34.1056790,Іванівка,village,167,,
337510183,51.2563170,34.4520110,Рогізне,hamlet,27,,
337510188,51.2583050,34.0323600,Волинцеве,village,308,,
337510209,51.2522510,34.1575200,Манухівка,village,420,,
337510217,51.2518920,34.4286513,Нескучне,hamlet,16,,
337510238,51.2535571,34.2444244,Рижівка,village,857,,
337510396,51.2390814,34.4592809,Волфине,village,317,,
337510427,51.2368010,34.5956000,Макіївка,hamlet,20,,
337510440,51.2310551,34.2763356,Атинське,village,149,,
337510450,51.2394221,34.3759417,Іскрисківщина,village,646,,
337510452,51.2354320,34.0119510,Козлівка,village,52,,
337510506,51.2308184,34.3026385,Голишівське,village,11,,
337510508,51.2343624,34.3338341,Будки,village,62,,
337510518,51.2254710,34.4682310,Шпиль,village,69,,
337510559,51.2223700,35.1058390,Новеньке,village,,,
337510561,51.2223820,34.1657600,Нові Вирки,village,439,,
337510568,51.2245590,34.5162883,Павлівка,village,1231,,
337510572,51.2216910,34.2210390,Старі Вирки,village,198,,
337510574,51.2096718,34.2892101,Стукалівка,village,5,,
337510591,51.2196310,34.0758090,Піски,village,1191,,
337510613,51.2157944,34.3725982,Соляники,village,92,,
337510617,51.2162900,34.9859310,Журавка,village,158,,
337510645,51.2127946,34.5631202,Катеринівка,village,117,,
337510667,51.2254604,34.6257695,Ободи,village,622,,
337510692,51.2081976,34.4248218,Кисла Дубина,village,75,,
337510729,51.2073898,34.6470162,Дігтярне,hamlet,19,,
337510751,51.2000620,34.9375500,Веселівка,village,67,,
356483077,52.3775002,34.3656394,Селечня,village,584,Суземский район,Брянская область
356483125,51.6226868,34.3585397,Крупец,village,,Рыльский район,Курская область
356483130,51.3347020,34.3810390,Коровяковка,village,638,Глушковский район,Курская область
360029526,51.4143341,36.2550465,Буды,hamlet,,Медвенский район,Курская область
367882559,51.2675433,37.9239809,Незнамово,village,1430,Старооскольский городской округ,Белгородская область
367882564,51.2250678,38.0091942,Черниково,hamlet,245,Старооскольский городской округ,Белгородская область
367882568,51.2096086,37.9871478,Выползово,hamlet,147,Старооскольский городской округ,Белгородская область
367886338,51.2045214,37.8524850,Нижнеатаманское,hamlet,156,Старооскольский городской округ,Белгородская область
367891269,51.2241264,37.8640279,Сорокино,village,582,Старооскольский городской округ,Белгородская область
367893882,51.2584423,37.8778016,Анпиловка,hamlet,232,Старооскольский городской округ,Белгородская область
367896641,51.2207116,37.7328873,Верхне-Чуфичево,hamlet,183,Старооскольский городской округ,Белгородская область
367896648,51.2145777,37.7131332,Котеневка,hamlet,200,Старооскольский городской округ,Белгородская область
367900755,51.2959846,37.7414643,Новоселовка,hamlet,241,Старооскольский городской округ,Белгородская область
367900763,51.3044626,37.7119794,Песчанка,village,2149,Старооскольский городской округ,Белгородская область
367905432,51.3530208,37.8247690,Каплино,village,1229,Старооскольский городской округ,Белгородская область
367905433,51.3510693,37.8004469,Федосеевка,village,2766,Старооскольский городской округ,Белгородская область
368181938,51.2865256,37.9441920,Воротниково,village,254,Старооскольский городской округ,Белгородская область
368183999,51.3052945,37.9727985,Ильины,hamlet,90,Старооскольский городской округ,Белгородская область
383335265,51.8981275,34.5087345,Калиновка,village,,Хомутовский район,Курская область
383335459,51.6945341,34.8433413,Капыстичи,hamlet,,Рыльский район,Курская область
383335466,51.7473084,34.9119848,Луговое,hamlet,,Хомутовский район,Курская область
383335475,51.8380555,34.6076145,Ольховка,village,,Хомутовский район,Курская область
383352767,51.3474795,34.7260785,Кекино,hamlet,,Глушковский район,Курская область
383729573,52.3028328,35.8242952,Свапские Дворы,village,,Троснянский район,Орловская область
383729574,52.0020610,35.9246280,Умские Дворы,hamlet,,Фатежский район,Курская область
383729575,51.9637990,35.9644090,Большое Жирово,village,,Фатежский район,Курская область
383744387,51.5777397,36.0787240,Селиховы Дворы,village,,Курский район,Курская область
383791132,51.3679333,36.1935050,Паники,village,,Медвенский район,Курская область
392536013,52.3848720,35.3530580,Долбенкино,village,,Дмитровский район,Орловская область
392536693,52.2648580,35.2260670,Клишино,village,318,Железногорский район,Курская область
392538967,52.4011459,35.4920648,Волково,village,170,Железногорский район,Курская область
392539652,52.4337010,35.5538670,Магнитный,village,1756,Железногорский район,Курская область
397492432,51.8977629,36.2605951,Никольское,hamlet,,,
408195717,51.4662402,36.0967101,Соломыковские Дворы,hamlet,55,,
408195719,51.4836407,36.0689460,Высоконские Дворы,village,,Медвенский район,Курская область
408195721,51.8466712,36.0942472,Верхняя Медведица,village,,Курский район,Курская область
408195723,51.8925122,36.0349037,Курица,hamlet,135,Курский район,Курская область
